Kazakova|01:860:102:01|4.33|3.33|4.00|4.00|4.67|4.33|4.67|4.67|4.33|4.00
Mccoy-Rusanova|01:860:104:01|4.60|4.80|4.20|4.40|5.00|4.40|4.60|4.60|4.20|4.20
Medvedeva|01:860:108:01|4.82|4.91|4.82|4.82|4.73|4.82|4.91|4.82|4.91|4.91
Medvedeva|01:860:108:02|4.82|4.91|4.82|4.82|4.73|4.82|4.91|4.82|4.91|4.91
Kazakova|01:860:202:01|4.88|4.50|4.75|5.00|5.00|4.88|5.00|5.00|4.88|5.00
Mccoy-Rusanova|01:860:204:01|4.75|4.75|4.75|4.75|4.75|4.75|4.25|5.00|5.00|5.00
Mccoy-Rusanova|01:860:208:01|4.83|4.67|4.50|4.83|4.33|4.50|4.83|4.50|4.67|4.83
Van Buskirk Emily|01:860:260:01|4.44|4.44|4.11|4.78|4.00|4.11|4.22|4.11|4.11|4.00
Rosenfeld A.|01:860:320:01|4.73|4.55|4.09|4.82|4.91|4.45|4.36|3.91|4.27|4.09
Bojanowska Edyta|01:860:334:01|4.92|4.85|4.92|4.92|4.85|4.69|4.77|4.15|4.69|4.77
Van Buskirk Emily|01:860:348:01|4.50|4.75|3.00|4.50|4.50|3.13|3.75|3.25|3.38|3.25
Mccoy-Rusanova|01:860:351:01|4.43|4.57|4.71|4.86|4.71|4.43|4.57|4.00|4.43|4.43
Bogomolny|01:860:402:01|4.83|4.83|5.00|5.00|5.00|4.83|4.83|5.00|5.00|4.83
Pirog Gerald|01:860:488:01|4.83|4.83|4.83|4.83|5.00|4.67|4.83|4.83|5.00|5.00
