KUHN                K|01:470:101:02|4.85|4.84|4.82|4.93|4.81|4.66|4.60|4.41|4.68|4.58|4.56|4.82|4.21|4.29
KUHN                K|01:470:101:04|4.85|4.84|4.82|4.93|4.81|4.66|4.60|4.41|4.68|4.58|4.56|4.82|4.21|4.29
NAYAR|01:470:101:05|4.85|4.84|4.82|4.93|4.81|4.66|4.60|4.41|4.68|4.58|4.56|4.82|4.21|4.29|4.25|3.67|3.00|3.00|3.00
BOGHOSSIAN          A|01:470:102:02|4.80|4.79|4.68|4.72|4.67|4.68|4.61|4.42|4.59|4.61|4.63|4.81|4.18|4.29
DINE                U|01:470:105:01|4.57|4.86|5.00|5.00|5.00|4.71|4.43|3.86|4.86|4.29|4.86|4.71|3.71|4.14
GLOWACKI            D|01:470:131:02|4.78|4.78|4.66|4.88|4.91|4.59|4.50|4.69|4.71|4.48|4.57|4.70|4.40|4.50
BOGHOSSIAN          A|01:470:132:01|4.78|4.90|4.89|4.78|4.80|4.80|4.75|4.89|4.67|4.67|4.38|5.00|4.88|4.75
CLARK               C|01:470:301:01|4.70|5.00|4.60|5.00|5.00|4.70|4.89|4.50|4.60|4.90|5.00|3.50|4.75|4.75
CIKLAMINI           M|01:470:381:01|4.83|5.00|4.83|5.00|4.83|4.50|4.83|4.33|4.83|4.67|5.00|4.83|5.00|4.83
CIKLAMINI           M|01:470:383:01|4.33|4.83|4.75|4.91|4.75|4.33|4.67|4.42|4.58|4.50|4.58|4.17|4.25|4.58
CLARK               C|01:470:389:01|4.83|4.83|5.00|5.00|5.00|5.00|5.00|4.17|5.00|4.83|5.00|4.50|4.67|4.67
CLARK               C|01:470:390:01|4.91|5.00|5.00|4.91|4.82|4.82|4.91|4.60|4.82|4.91|4.82|4.45|4.82|4.82
