JIMENEZ             L|01:160:127:01|4.70|4.56|4.00|4.59|4.41|4.11|3.89|3.58|4.46|4.23|5.00
RABEONY             M|01:160:134:00|4.56|4.50|4.50|4.62|4.59|4.46|4.46|3.82|4.46|4.47|5.00|4.50
MARVASTI            S|01:160:159:00|4.34|4.31|3.83|4.39|4.23|3.83|3.75|3.04|4.03|3.72|4.75
ZBAIDA              S|01:160:159:00|4.34|4.31|3.83|4.39|4.23|3.83|3.75|3.04|4.03|3.72|3.00
MARVASTI            S|01:160:159:01|4.34|4.31|3.83|4.39|4.23|3.83|3.75|3.04|4.03|3.72|4.75|5.00|5.00|5.00|5.00|5.00|5.00|5.00|3.00
ROYCHOWDHURY        L|01:160:159:02|4.34|4.31|3.83|4.39|4.23|3.83|3.75|3.04|4.03|3.72
PETRONE             L|01:160:159:03|4.34|4.31|3.83|4.39|4.23|3.83|3.75|3.04|4.03|3.72
ROYCHOWDHURY        L|01:160:159:04|4.34|4.31|3.83|4.39|4.23|3.83|3.75|3.04|4.03|3.72
ROYCHOWDHURY        L|01:160:159:05|4.34|4.31|3.83|4.39|4.23|3.83|3.75|3.04|4.03|3.72
PETRONE             L|01:160:159:06|4.34|4.31|3.83|4.39|4.23|3.83|3.75|3.04|4.03|3.72
ROYCHOWDHURY        L|01:160:159:07|4.34|4.31|3.83|4.39|4.23|3.83|3.75|3.04|4.03|3.72
POPTAVETS           V|01:160:159:08|4.34|4.31|3.83|4.39|4.23|3.83|3.75|3.04|4.03|3.72
MARVASTI            S|01:160:159:09|4.34|4.31|3.83|4.39|4.23|3.83|3.75|3.04|4.03|3.72|4.75
PETRONE             L|01:160:159:10|4.34|4.31|3.83|4.39|4.23|3.83|3.75|3.04|4.03|3.72
POPTAVETS           V|01:160:159:11|4.34|4.31|3.83|4.39|4.23|3.83|3.75|3.04|4.03|3.72
ROYCHOWDHURY        L|01:160:159:12|4.34|4.31|3.83|4.39|4.23|3.83|3.75|3.04|4.03|3.72|4.75
MARVASTI            S|01:160:159:13|4.34|4.31|3.83|4.39|4.23|3.83|3.75|3.04|4.03|3.72|4.75
POPTAVETS           V|01:160:159:14|4.34|4.31|3.83|4.39|4.23|3.83|3.75|3.04|4.03|3.72|4.75|5.00|5.00|5.00|5.00|5.00
PETRONE             L|01:160:159:16|4.34|4.31|3.83|4.39|4.23|3.83|3.75|3.04|4.03|3.72
KIMMEL              P|01:160:161:00|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88|4.55|4.47|4.39|4.29|3.82
VASSILIAN           A|01:160:161:00|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88
RABEONY             M|01:160:161:00|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88|4.55|4.47|4.39|4.29|3.82|4.22|4.20|4.20|4.14
SEIGEL              D|01:160:161:00|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88|4.55|4.47|4.39|4.29|3.82|4.22|4.20|4.20|4.14
GOVINDARAJOO        G|01:160:161:00|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88|4.55|4.47|4.39|4.29|3.82|4.22|4.20|4.20|4.14
SIEGEL              D|01:160:161:01|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88
LEE                 E|01:160:161:02|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88|4.55|4.47|4.39
GOVINDARATOO        G|01:160:161:03|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88
AGARWAL             R|01:160:161:04|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88
AGARWAL             R|01:160:161:05|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88
SANGARI             H|01:160:161:06|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88
SANGARI             H|01:160:161:07|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88
PETRONE             L|01:160:161:08|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88
SANGARI             H|01:160:161:09|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88
KLEIN               L|01:160:161:12|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88
MARKY               N|01:160:161:13|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88|4.55|4.47|4.39|4.29|3.82|4.22|4.20|4.20|4.14
SANGARI             H|01:160:161:14|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88|4.55|4.47|4.39|4.29|3.82|4.22|4.20|4.20|4.14
PETRONE             L|01:160:161:15|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88|4.55|4.39|4.29|3.82|4.22|4.20|4.20
MARKY               N|01:160:161:16|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88
KLEIN               L|01:160:161:17|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88
SANGARI             H|01:160:161:18|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88
KLEIN               L|01:160:161:19|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88
MARKY               N|01:160:161:20|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88
GOVINDARAJOO        G|01:160:161:21|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88
MARKY               N|01:160:161:22|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88
TAVSS               E|01:160:161:23|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88|4.55
GOVINDARAJOO        G|01:160:161:24|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88
TAVSS               E|01:160:161:25|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88
MARVASTI            S|01:160:161:26|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88|4.55
PETRONE             L|01:160:161:27|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88
MARVASTI            S|01:160:161:28|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88|4.55
TAVSS               E|01:160:161:29|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88
SHIN                Y|01:160:161:30|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88
LEE                 E|01:160:161:31|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88
AGARWAL             R|01:160:161:34|4.48|4.17|4.12|4.28|4.35|4.01|4.04|3.58|4.18|3.88
